Company,Price Interval,No. of Bids,Qty Confirmed,Qty Yet to Confirm,Qty Total,Cumulative Confirmed,Cumulative Yet to Confirm,Cumulative Total
Hindustan Zinc Limited,686.65,1,297,-,297,"57,73,408",-,"57,73,408"
Hindustan Zinc Limited,686.7,1,300,-,300,"57,73,111",-,"57,73,111"
Hindustan Zinc Limited,687,35,"3,45,176",-,"3,45,176","57,72,811",-,"57,72,811"
Hindustan Zinc Limited,687.05,1,360,-,360,"54,27,635",-,"54,27,635"
Hindustan Zinc Limited,687.1,2,795,-,795,"54,27,275",-,"54,27,275"
Hindustan Zinc Limited,687.25,3,"2,000",-,"2,000","54,26,480",-,"54,26,480"
Hindustan Zinc Limited,687.3,2,"1,518",-,"1,518","54,24,480",-,"54,24,480"
Hindustan Zinc Limited,687.5,6,"11,460",-,"11,460","54,22,962",-,"54,22,962"
Hindustan Zinc Limited,687.55,1,"1,00,000",-,"1,00,000","54,11,502",-,"54,11,502"
Hindustan Zinc Limited,687.6,2,"11,011",-,"11,011","53,11,502",-,"53,11,502"
Hindustan Zinc Limited,688,23,"44,828",-,"44,828","53,00,491",-,"53,00,491"
Hindustan Zinc Limited,688.05,2,"2,300",-,"2,300","52,55,663",-,"52,55,663"
Hindustan Zinc Limited,688.1,1,300,-,300,"52,53,363",-,"52,53,363"
Hindustan Zinc Limited,688.5,1,300,-,300,"52,53,063",-,"52,53,063"
Hindustan Zinc Limited,688.55,1,710,-,710,"52,52,763",-,"52,52,763"
Hindustan Zinc Limited,688.9,2,584,-,584,"52,52,053",-,"52,52,053"
Hindustan Zinc Limited,689,17,"8,341",-,"8,341","52,51,469",-,"52,51,469"
Hindustan Zinc Limited,689.35,1,500,-,500,"52,43,128",-,"52,43,128"
Hindustan Zinc Limited,690,170,"4,77,304",-,"4,77,304","52,42,628",-,"52,42,628"
Hindustan Zinc Limited,690.05,5,"47,724",-,"47,724","47,65,324",-,"47,65,324"
Hindustan Zinc Limited,690.1,18,"7,365",-,"7,365","47,17,600",-,"47,17,600"
Hindustan Zinc Limited,690.15,1,300,-,300,"47,10,235",-,"47,10,235"
Hindustan Zinc Limited,690.2,7,"17,400",-,"17,400","47,09,935",-,"47,09,935"
Hindustan Zinc Limited,690.25,3,"2,00,742",-,"2,00,742","46,92,535",-,"46,92,535"
Hindustan Zinc Limited,690.3,3,900,-,900,"44,91,793",-,"44,91,793"
Hindustan Zinc Limited,690.35,1,475,-,475,"44,90,893",-,"44,90,893"
Hindustan Zinc Limited,690.5,7,"2,175",-,"2,175","44,90,418",-,"44,90,418"
Hindustan Zinc Limited,690.55,1,"2,00,000",-,"2,00,000","44,88,243",-,"44,88,243"
Hindustan Zinc Limited,691,40,"2,87,228",-,"2,87,228","42,88,243",-,"42,88,243"
Hindustan Zinc Limited,691.05,1,"1,600",-,"1,600","40,01,015",-,"40,01,015"
Hindustan Zinc Limited,691.1,19,"46,205",-,"46,205","39,99,415",-,"39,99,415"
Hindustan Zinc Limited,691.15,3,900,-,900,"39,53,210",-,"39,53,210"
Hindustan Zinc Limited,691.3,1,450,-,450,"39,52,310",-,"39,52,310"
Hindustan Zinc Limited,691.6,3,"1,120",-,"1,120","39,51,860",-,"39,51,860"
Hindustan Zinc Limited,691.85,2,596,-,596,"39,50,740",-,"39,50,740"
Hindustan Zinc Limited,691.9,8,"3,370",-,"3,370","39,50,144",-,"39,50,144"
Hindustan Zinc Limited,692,9,"5,617",-,"5,617","39,46,774",-,"39,46,774"
Hindustan Zinc Limited,692.1,8,"22,000",-,"22,000","39,41,157",-,"39,41,157"
Hindustan Zinc Limited,692.25,1,290,-,290,"39,19,157",-,"39,19,157"
Hindustan Zinc Limited,692.6,1,310,-,310,"39,18,867",-,"39,18,867"
Hindustan Zinc Limited,693,24,"18,859",-,"18,859","39,18,557",-,"39,18,557"
Hindustan Zinc Limited,693.45,1,600,-,600,"38,99,698",-,"38,99,698"
Hindustan Zinc Limited,693.5,1,"1,200",-,"1,200","38,99,098",-,"38,99,098"
Hindustan Zinc Limited,694,2,"1,295",-,"1,295","38,97,898",-,"38,97,898"
Hindustan Zinc Limited,694.1,1,"3,000",-,"3,000","38,96,603",-,"38,96,603"
Hindustan Zinc Limited,695,123,"4,68,119",-,"4,68,119","38,93,603",-,"38,93,603"
Hindustan Zinc Limited,695.05,2,"2,400",-,"2,400","34,25,484",-,"34,25,484"
Hindustan Zinc Limited,695.1,11,"7,353",-,"7,353","34,23,084",-,"34,23,084"
Hindustan Zinc Limited,695.2,1,350,-,350,"34,15,731",-,"34,15,731"
Hindustan Zinc Limited,695.25,1,"1,000",-,"1,000","34,15,381",-,"34,15,381"
Hindustan Zinc Limited,695.55,4,"3,51,901",-,"3,51,901","34,14,381",-,"34,14,381"
Hindustan Zinc Limited,695.6,1,500,-,500,"30,62,480",-,"30,62,480"
Hindustan Zinc Limited,696,15,"7,960",-,"7,960","30,61,980",-,"30,61,980"
Hindustan Zinc Limited,696.1,16,"34,565",-,"34,565","30,54,020",-,"30,54,020"
Hindustan Zinc Limited,696.25,1,300,-,300,"30,19,455",-,"30,19,455"
Hindustan Zinc Limited,696.55,2,"1,65,000",-,"1,65,000","30,19,155",-,"30,19,155"
Hindustan Zinc Limited,696.8,1,290,-,290,"28,54,155",-,"28,54,155"
Hindustan Zinc Limited,697,3,"2,134",-,"2,134","28,53,865",-,"28,53,865"
Hindustan Zinc Limited,698,12,"4,692",-,"4,692","28,51,731",-,"28,51,731"
Hindustan Zinc Limited,698.3,1,"2,000",-,"2,000","28,47,039",-,"28,47,039"
Hindustan Zinc Limited,698.6,1,290,-,290,"28,45,039",-,"28,45,039"
Hindustan Zinc Limited,699,14,"4,624",-,"4,624","28,44,749",-,"28,44,749"
Hindustan Zinc Limited,699.1,1,287,-,287,"28,40,125",-,"28,40,125"
Hindustan Zinc Limited,699.5,4,"31,000",-,"31,000","28,39,838",-,"28,39,838"
Hindustan Zinc Limited,700,148,"12,95,620",-,"12,95,620","28,08,838",-,"28,08,838"
Hindustan Zinc Limited,700.05,5,"7,344",-,"7,344","15,13,218",-,"15,13,218"
Hindustan Zinc Limited,700.1,2,"17,000",-,"17,000","15,05,874",-,"15,05,874"
Hindustan Zinc Limited,700.2,2,"5,850",-,"5,850","14,88,874",-,"14,88,874"
Hindustan Zinc Limited,700.25,4,"1,200",-,"1,200","14,83,024",-,"14,83,024"
Hindustan Zinc Limited,700.35,1,286,-,286,"14,81,824",-,"14,81,824"
Hindustan Zinc Limited,700.5,3,"3,355",-,"3,355","14,81,538",-,"14,81,538"
Hindustan Zinc Limited,700.55,3,"3,00,000",-,"3,00,000","14,78,183",-,"14,78,183"
Hindustan Zinc Limited,701,66,"3,20,365",-,"3,20,365","11,78,183",-,"11,78,183"
Hindustan Zinc Limited,701.05,1,"1,426",-,"1,426","8,57,818",-,"8,57,818"
Hindustan Zinc Limited,701.1,17,"6,252",-,"6,252","8,56,392",-,"8,56,392"
Hindustan Zinc Limited,701.15,2,"1,900",-,"1,900","8,50,140",-,"8,50,140"
Hindustan Zinc Limited,701.2,1,"7,000",-,"7,000","8,48,240",-,"8,48,240"
Hindustan Zinc Limited,701.25,1,511,-,511,"8,41,240",-,"8,41,240"
Hindustan Zinc Limited,701.3,1,"1,000",-,"1,000","8,40,729",-,"8,40,729"
Hindustan Zinc Limited,701.4,7,"5,080",-,"5,080","8,39,729",-,"8,39,729"
Hindustan Zinc Limited,701.5,2,550,-,550,"8,34,649",-,"8,34,649"
Hindustan Zinc Limited,701.55,1,840,-,840,"8,34,099",-,"8,34,099"
Hindustan Zinc Limited,701.65,3,"1,62,300",-,"1,62,300","8,33,259",-,"8,33,259"
Hindustan Zinc Limited,701.7,1,700,-,700,"6,70,959",-,"6,70,959"
Hindustan Zinc Limited,701.75,4,"16,690",-,"16,690","6,70,259",-,"6,70,259"
Hindustan Zinc Limited,702,24,"31,278",-,"31,278","6,53,569",-,"6,53,569"
Hindustan Zinc Limited,702.1,2,"1,100",-,"1,100","6,22,291",-,"6,22,291"
Hindustan Zinc Limited,702.2,1,"20,000",-,"20,000","6,21,191",-,"6,21,191"
Hindustan Zinc Limited,702.25,1,990,-,990,"6,01,191",-,"6,01,191"
Hindustan Zinc Limited,702.4,1,350,-,350,"6,00,201",-,"6,00,201"
Hindustan Zinc Limited,702.45,1,"12,000",-,"12,000","5,99,851",-,"5,99,851"
Hindustan Zinc Limited,702.5,1,250,-,250,"5,87,851",-,"5,87,851"
Hindustan Zinc Limited,702.55,1,292,-,292,"5,87,601",-,"5,87,601"
Hindustan Zinc Limited,703,5,"3,589",-,"3,589","5,87,309",-,"5,87,309"
Hindustan Zinc Limited,703.1,1,350,-,350,"5,83,720",-,"5,83,720"
Hindustan Zinc Limited,703.15,1,"10,000",-,"10,000","5,83,370",-,"5,83,370"
Hindustan Zinc Limited,704,6,"2,985",-,"2,985","5,73,370",-,"5,73,370"
Hindustan Zinc Limited,705,37,"19,996",-,"19,996","5,70,385",-,"5,70,385"
Hindustan Zinc Limited,705.1,1,500,-,500,"5,50,389",-,"5,50,389"
Hindustan Zinc Limited,705.2,1,800,-,800,"5,49,889",-,"5,49,889"
Hindustan Zinc Limited,706,6,"1,02,500",-,"1,02,500","5,49,089",-,"5,49,089"
Hindustan Zinc Limited,706.1,1,"5,000",-,"5,000","4,46,589",-,"4,46,589"
Hindustan Zinc Limited,706.3,3,"6,000",-,"6,000","4,41,589",-,"4,41,589"
Hindustan Zinc Limited,706.5,1,285,-,285,"4,35,589",-,"4,35,589"
Hindustan Zinc Limited,707,17,"47,105",-,"47,105","4,35,304",-,"4,35,304"
Hindustan Zinc Limited,708,2,"1,090",-,"1,090","3,88,199",-,"3,88,199"
Hindustan Zinc Limited,708.4,3,"1,500",-,"1,500","3,87,109",-,"3,87,109"
Hindustan Zinc Limited,710,24,"15,340",-,"15,340","3,85,609",-,"3,85,609"
Hindustan Zinc Limited,710.05,1,451,-,451,"3,70,269",-,"3,70,269"
Hindustan Zinc Limited,710.2,1,282,-,282,"3,69,818",-,"3,69,818"
Hindustan Zinc Limited,711,25,"21,431",-,"21,431","3,69,536",-,"3,69,536"
Hindustan Zinc Limited,711.1,23,"15,346",-,"15,346","3,48,105",-,"3,48,105"
Hindustan Zinc Limited,711.35,1,"65,000",-,"65,000","3,32,759",-,"3,32,759"
Hindustan Zinc Limited,711.5,1,"1,400",-,"1,400","2,67,759",-,"2,67,759"
Hindustan Zinc Limited,712,3,"1,025",-,"1,025","2,66,359",-,"2,66,359"
Hindustan Zinc Limited,713,3,"1,390",-,"1,390","2,65,334",-,"2,65,334"
Hindustan Zinc Limited,713.2,3,"6,000",-,"6,000","2,63,944",-,"2,63,944"
Hindustan Zinc Limited,714,9,"3,150",-,"3,150","2,57,944",-,"2,57,944"
Hindustan Zinc Limited,715,3,"1,114",-,"1,114","2,54,794",-,"2,54,794"
Hindustan Zinc Limited,720,1,"3,675",-,"3,675","2,53,680",-,"2,53,680"
Hindustan Zinc Limited,725,10,"2,50,000",-,"2,50,000","2,50,005",-,"2,50,005"
Hindustan Zinc Limited,800,1,5,-,5,5,-,5
