Company,Price Interval,No. of Bids,Qty Confirmed,Qty Yet to Confirm,Qty Total,Cumulative Confirmed,Cumulative Yet to Confirm,Cumulative Total
Hindustan Zinc Limited,685,498,"28,68,930",-,"28,68,930","1,02,39,936",-,"1,02,39,936"
Hindustan Zinc Limited,685.05,7,"17,081",-,"17,081","73,71,006",-,"73,71,006"
Hindustan Zinc Limited,685.1,44,"3,14,830",-,"3,14,830","73,53,925",-,"73,53,925"
Hindustan Zinc Limited,685.15,4,"77,618",-,"77,618","70,39,095",-,"70,39,095"
Hindustan Zinc Limited,685.2,1,350,-,350,"69,61,477",-,"69,61,477"
Hindustan Zinc Limited,685.25,5,"14,462",-,"14,462","69,61,127",-,"69,61,127"
Hindustan Zinc Limited,685.3,11,"4,06,100",-,"4,06,100","69,46,665",-,"69,46,665"
Hindustan Zinc Limited,685.35,8,"7,656",-,"7,656","65,40,565",-,"65,40,565"
Hindustan Zinc Limited,685.4,1,"1,000",-,"1,000","65,32,909",-,"65,32,909"
Hindustan Zinc Limited,685.45,2,600,-,600,"65,31,909",-,"65,31,909"
Hindustan Zinc Limited,685.5,4,"11,600",-,"11,600","65,31,309",-,"65,31,309"
Hindustan Zinc Limited,685.55,2,"6,295",-,"6,295","65,19,709",-,"65,19,709"
Hindustan Zinc Limited,685.6,1,360,-,360,"65,13,414",-,"65,13,414"
Hindustan Zinc Limited,685.7,2,"1,125",-,"1,125","65,13,054",-,"65,13,054"
Hindustan Zinc Limited,685.9,33,"53,870",-,"53,870","65,11,929",-,"65,11,929"
Hindustan Zinc Limited,686,68,"5,51,007",-,"5,51,007","64,58,059",-,"64,58,059"
Hindustan Zinc Limited,686.05,129,"73,946",-,"73,946","59,07,052",-,"59,07,052"
Hindustan Zinc Limited,686.1,12,"21,704",-,"21,704","58,33,106",-,"58,33,106"
Hindustan Zinc Limited,686.15,1,"29,000",-,"29,000","58,11,402",-,"58,11,402"
Hindustan Zinc Limited,686.25,2,"3,840",-,"3,840","57,82,402",-,"57,82,402"
Hindustan Zinc Limited,686.35,1,590,-,590,"57,78,562",-,"57,78,562"
Hindustan Zinc Limited,686.5,2,332,-,332,"57,77,972",-,"57,77,972"
Hindustan Zinc Limited,686.55,3,"4,132",-,"4,132","57,77,640",-,"57,77,640"
Hindustan Zinc Limited,686.6,1,100,-,100,"57,73,508",-,"57,73,508"
