Company,Price Interval,No. of Bids,Qty Confirmed,Qty Yet to Confirm,Qty Total,Cumulative Confirmed,Cumulative Yet to Confirm,Cumulative Total
Hindustan Zinc Limited,685,309,"21,26,275",-,"21,26,275","39,70,245",-,"39,70,245"
Hindustan Zinc Limited,685.05,1,"2,810",-,"2,810","18,43,970",-,"18,43,970"
Hindustan Zinc Limited,685.1,6,"1,60,300",-,"1,60,300","18,41,160",-,"18,41,160"
Hindustan Zinc Limited,685.3,1,500,-,500,"16,80,860",-,"16,80,860"
Hindustan Zinc Limited,685.35,5,"4,550",-,"4,550","16,80,360",-,"16,80,360"
Hindustan Zinc Limited,685.5,1,"7,500",-,"7,500","16,75,810",-,"16,75,810"
Hindustan Zinc Limited,685.55,2,795,-,795,"16,68,310",-,"16,68,310"
Hindustan Zinc Limited,686,36,"65,592",-,"65,592","16,67,515",-,"16,67,515"
Hindustan Zinc Limited,686.1,2,"15,500",-,"15,500","16,01,923",-,"16,01,923"
Hindustan Zinc Limited,686.3,1,500,-,500,"15,86,423",-,"15,86,423"
Hindustan Zinc Limited,686.35,1,590,-,590,"15,85,923",-,"15,85,923"
Hindustan Zinc Limited,686.5,1,32,-,32,"15,85,333",-,"15,85,333"
Hindustan Zinc Limited,687,16,"1,21,454",-,"1,21,454","15,85,301",-,"15,85,301"
Hindustan Zinc Limited,687.1,1,"30,000",-,"30,000","14,63,847",-,"14,63,847"
Hindustan Zinc Limited,687.3,1,"15,000",-,"15,000","14,33,847",-,"14,33,847"
Hindustan Zinc Limited,687.5,1,"10,000",-,"10,000","14,18,847",-,"14,18,847"
Hindustan Zinc Limited,688,9,"3,374",-,"3,374","14,08,847",-,"14,08,847"
Hindustan Zinc Limited,689,2,"10,200",-,"10,200","14,05,473",-,"14,05,473"
Hindustan Zinc Limited,689.9,1,"2,100",-,"2,100","13,95,273",-,"13,95,273"
Hindustan Zinc Limited,690,53,"35,054",-,"35,054","13,93,173",-,"13,93,173"
Hindustan Zinc Limited,690.1,2,"1,130",-,"1,130","13,58,119",-,"13,58,119"
Hindustan Zinc Limited,690.25,1,450,-,450,"13,56,989",-,"13,56,989"
Hindustan Zinc Limited,691,17,"11,755",-,"11,755","13,56,539",-,"13,56,539"
Hindustan Zinc Limited,691.05,1,"1,600",-,"1,600","13,44,784",-,"13,44,784"
Hindustan Zinc Limited,691.1,1,360,-,360,"13,43,184",-,"13,43,184"
Hindustan Zinc Limited,691.85,1,300,-,300,"13,42,824",-,"13,42,824"
Hindustan Zinc Limited,691.9,8,"3,370",-,"3,370","13,42,524",-,"13,42,524"
Hindustan Zinc Limited,692,4,"5,690",-,"5,690","13,39,154",-,"13,39,154"
Hindustan Zinc Limited,693,4,"2,466",-,"2,466","13,33,464",-,"13,33,464"
Hindustan Zinc Limited,695,25,"2,49,070",-,"2,49,070","13,30,998",-,"13,30,998"
Hindustan Zinc Limited,695.05,2,"2,400",-,"2,400","10,81,928",-,"10,81,928"
Hindustan Zinc Limited,695.1,3,"1,998",-,"1,998","10,79,528",-,"10,79,528"
Hindustan Zinc Limited,695.2,1,300,-,300,"10,77,530",-,"10,77,530"
Hindustan Zinc Limited,695.25,1,"1,000",-,"1,000","10,77,230",-,"10,77,230"
Hindustan Zinc Limited,696,1,292,-,292,"10,76,230",-,"10,76,230"
Hindustan Zinc Limited,696.8,1,290,-,290,"10,75,938",-,"10,75,938"
Hindustan Zinc Limited,697,1,400,-,400,"10,75,648",-,"10,75,648"
Hindustan Zinc Limited,698,5,"2,176",-,"2,176","10,75,248",-,"10,75,248"
Hindustan Zinc Limited,698.6,1,290,-,290,"10,73,072",-,"10,73,072"
Hindustan Zinc Limited,699,1,295,-,295,"10,72,782",-,"10,72,782"
Hindustan Zinc Limited,700,51,"4,02,290",-,"4,02,290","10,72,487",-,"10,72,487"
Hindustan Zinc Limited,700.05,2,"5,500",-,"5,500","6,70,197",-,"6,70,197"
Hindustan Zinc Limited,700.25,3,900,-,900,"6,64,697",-,"6,64,697"
Hindustan Zinc Limited,701,15,"9,310",-,"9,310","6,63,797",-,"6,63,797"
Hindustan Zinc Limited,701.05,1,"1,426",-,"1,426","6,54,487",-,"6,54,487"
Hindustan Zinc Limited,701.25,1,511,-,511,"6,53,061",-,"6,53,061"
Hindustan Zinc Limited,701.5,1,300,-,300,"6,52,550",-,"6,52,550"
Hindustan Zinc Limited,701.75,4,"16,690",-,"16,690","6,52,250",-,"6,52,250"
Hindustan Zinc Limited,701.9,1,286,-,286,"6,35,560",-,"6,35,560"
Hindustan Zinc Limited,702,5,"6,520",-,"6,520","6,35,274",-,"6,35,274"
Hindustan Zinc Limited,702.25,1,990,-,990,"6,28,754",-,"6,28,754"
Hindustan Zinc Limited,703,2,689,-,689,"6,27,764",-,"6,27,764"
Hindustan Zinc Limited,704,2,"1,010",-,"1,010","6,27,075",-,"6,27,075"
Hindustan Zinc Limited,705,9,"3,02,415",-,"3,02,415","6,26,065",-,"6,26,065"
Hindustan Zinc Limited,705.1,2,"1,900",-,"1,900","3,23,650",-,"3,23,650"
Hindustan Zinc Limited,705.2,1,800,-,800,"3,21,750",-,"3,21,750"
Hindustan Zinc Limited,705.55,2,"2,00,000",-,"2,00,000","3,20,950",-,"3,20,950"
Hindustan Zinc Limited,706,2,"1,00,300",-,"1,00,300","1,20,950",-,"1,20,950"
Hindustan Zinc Limited,706.5,1,285,-,285,"20,650",-,"20,650"
Hindustan Zinc Limited,708,1,700,-,700,"20,365",-,"20,365"
Hindustan Zinc Limited,709,2,620,-,620,"19,665",-,"19,665"
Hindustan Zinc Limited,710,5,"2,173",-,"2,173","19,045",-,"19,045"
Hindustan Zinc Limited,710.1,1,350,-,350,"16,872",-,"16,872"
Hindustan Zinc Limited,711,2,"1,700",-,"1,700","16,522",-,"16,522"
Hindustan Zinc Limited,711.5,1,"1,400",-,"1,400","14,822",-,"14,822"
Hindustan Zinc Limited,712,2,"1,140",-,"1,140","13,422",-,"13,422"
Hindustan Zinc Limited,714.05,1,417,-,417,"12,282",-,"12,282"
Hindustan Zinc Limited,715,4,"2,014",-,"2,014","11,865",-,"11,865"
Hindustan Zinc Limited,715.15,1,290,-,290,"9,851",-,"9,851"
Hindustan Zinc Limited,720,12,"8,756",-,"8,756","9,561",-,"9,561"
Hindustan Zinc Limited,791,1,800,-,800,805,-,805
Hindustan Zinc Limited,800,1,5,-,5,5,-,5
