Company,Price Interval,No. of Bids,Qty Confirmed,Qty Yet to Confirm,Qty Total,Cumulative Confirmed,Cumulative Yet to Confirm,Cumulative Total
Hindustan Zinc Limited,686.3,9,"8,345",-,"8,345","1,45,47,483",-,"1,45,47,483"
Hindustan Zinc Limited,686.35,4,"38,700",-,"38,700","1,45,39,138",-,"1,45,39,138"
Hindustan Zinc Limited,686.4,7,"53,592",-,"53,592","1,45,00,438",-,"1,45,00,438"
Hindustan Zinc Limited,686.45,2,"6,50,425",-,"6,50,425","1,44,46,846",-,"1,44,46,846"
Hindustan Zinc Limited,686.5,18,"1,41,799",-,"1,41,799","1,37,96,421",-,"1,37,96,421"
Hindustan Zinc Limited,686.55,22,"31,326",-,"31,326","1,36,54,622",-,"1,36,54,622"
Hindustan Zinc Limited,686.6,7,"4,319",-,"4,319","1,36,23,296",-,"1,36,23,296"
Hindustan Zinc Limited,686.65,3,"6,600",-,"6,600","1,36,18,977",-,"1,36,18,977"
Hindustan Zinc Limited,686.7,3,"2,153",-,"2,153","1,36,12,377",-,"1,36,12,377"
Hindustan Zinc Limited,686.75,3,"2,25,600",-,"2,25,600","1,36,10,224",-,"1,36,10,224"
Hindustan Zinc Limited,686.8,4,"25,150",-,"25,150","1,33,84,624",-,"1,33,84,624"
Hindustan Zinc Limited,686.85,1,292,-,292,"1,33,59,474",-,"1,33,59,474"
Hindustan Zinc Limited,686.9,13,"10,270",-,"10,270","1,33,59,182",-,"1,33,59,182"
Hindustan Zinc Limited,687,164,"1,79,219",-,"1,79,219","1,33,48,912",-,"1,33,48,912"
Hindustan Zinc Limited,687.05,29,"4,81,602",-,"4,81,602","1,31,69,693",-,"1,31,69,693"
Hindustan Zinc Limited,687.1,53,"3,62,847",-,"3,62,847","1,26,88,091",-,"1,26,88,091"
Hindustan Zinc Limited,687.15,10,"15,557",-,"15,557","1,23,25,244",-,"1,23,25,244"
Hindustan Zinc Limited,687.2,40,"49,546",-,"49,546","1,23,09,687",-,"1,23,09,687"
Hindustan Zinc Limited,687.25,9,"15,400",-,"15,400","1,22,60,141",-,"1,22,60,141"
Hindustan Zinc Limited,687.3,3,"3,918",-,"3,918","1,22,44,741",-,"1,22,44,741"
Hindustan Zinc Limited,687.35,3,"14,450",-,"14,450","1,22,40,823",-,"1,22,40,823"
Hindustan Zinc Limited,687.4,13,"31,850",-,"31,850","1,22,26,373",-,"1,22,26,373"
Hindustan Zinc Limited,687.45,2,"50,100",-,"50,100","1,21,94,523",-,"1,21,94,523"
Hindustan Zinc Limited,687.5,17,"39,927",-,"39,927","1,21,44,423",-,"1,21,44,423"
Hindustan Zinc Limited,687.55,14,"36,791",-,"36,791","1,21,04,496",-,"1,21,04,496"
Hindustan Zinc Limited,687.6,10,"20,981",-,"20,981","1,20,67,705",-,"1,20,67,705"
Hindustan Zinc Limited,687.65,4,"7,950",-,"7,950","1,20,46,724",-,"1,20,46,724"
Hindustan Zinc Limited,687.8,1,"1,225",-,"1,225","1,20,38,774",-,"1,20,38,774"
Hindustan Zinc Limited,687.85,2,"1,700",-,"1,700","1,20,37,549",-,"1,20,37,549"
Hindustan Zinc Limited,688,94,"3,00,017",-,"3,00,017","1,20,35,849",-,"1,20,35,849"
Hindustan Zinc Limited,688.05,9,"57,460",-,"57,460","1,17,35,832",-,"1,17,35,832"
Hindustan Zinc Limited,688.1,42,"72,180",-,"72,180","1,16,78,372",-,"1,16,78,372"
Hindustan Zinc Limited,688.15,9,"35,355",-,"35,355","1,16,06,192",-,"1,16,06,192"
Hindustan Zinc Limited,688.2,4,"5,362",-,"5,362","1,15,70,837",-,"1,15,70,837"
Hindustan Zinc Limited,688.25,25,"1,43,094",-,"1,43,094","1,15,65,475",-,"1,15,65,475"
Hindustan Zinc Limited,688.3,7,"5,88,810",-,"5,88,810","1,14,22,381",-,"1,14,22,381"
Hindustan Zinc Limited,688.4,8,"12,100",-,"12,100","1,08,33,571",-,"1,08,33,571"
Hindustan Zinc Limited,688.5,54,"70,154",-,"70,154","1,08,21,471",-,"1,08,21,471"
Hindustan Zinc Limited,688.55,2,"3,183",-,"3,183","1,07,51,317",-,"1,07,51,317"
Hindustan Zinc Limited,688.6,13,"1,04,000",-,"1,04,000","1,07,48,134",-,"1,07,48,134"
Hindustan Zinc Limited,688.75,3,"2,01,900",-,"2,01,900","1,06,44,134",-,"1,06,44,134"
Hindustan Zinc Limited,688.8,2,600,-,600,"1,04,42,234",-,"1,04,42,234"
Hindustan Zinc Limited,688.9,2,592,-,592,"1,04,41,634",-,"1,04,41,634"
Hindustan Zinc Limited,689,45,"2,59,952",-,"2,59,952","1,04,41,042",-,"1,04,41,042"
Hindustan Zinc Limited,689.05,3,"2,535",-,"2,535","1,01,81,090",-,"1,01,81,090"
Hindustan Zinc Limited,689.1,39,"5,58,739",-,"5,58,739","1,01,78,555",-,"1,01,78,555"
Hindustan Zinc Limited,689.15,4,"57,650",-,"57,650","96,19,816",-,"96,19,816"
Hindustan Zinc Limited,689.2,22,"28,460",-,"28,460","95,62,166",-,"95,62,166"
Hindustan Zinc Limited,689.25,4,"3,552",-,"3,552","95,33,706",-,"95,33,706"
Hindustan Zinc Limited,689.3,1,500,-,500,"95,30,154",-,"95,30,154"
Hindustan Zinc Limited,689.35,1,500,-,500,"95,29,654",-,"95,29,654"
Hindustan Zinc Limited,689.4,10,"5,776",-,"5,776","95,29,154",-,"95,29,154"
Hindustan Zinc Limited,689.5,4,"5,065",-,"5,065","95,23,378",-,"95,23,378"
Hindustan Zinc Limited,689.6,1,294,-,294,"95,18,313",-,"95,18,313"
Hindustan Zinc Limited,689.9,41,"62,705",-,"62,705","95,18,019",-,"95,18,019"
Hindustan Zinc Limited,689.95,2,"1,725",-,"1,725","94,55,314",-,"94,55,314"
Hindustan Zinc Limited,690,163,"3,05,926",-,"3,05,926","94,53,589",-,"94,53,589"
Hindustan Zinc Limited,690.05,24,"87,787",-,"87,787","91,47,663",-,"91,47,663"
Hindustan Zinc Limited,690.1,30,"4,18,617",-,"4,18,617","90,59,876",-,"90,59,876"
Hindustan Zinc Limited,690.15,3,"4,595",-,"4,595","86,41,259",-,"86,41,259"
Hindustan Zinc Limited,690.2,12,"44,570",-,"44,570","86,36,664",-,"86,36,664"
Hindustan Zinc Limited,690.25,117,"3,03,312",-,"3,03,312","85,92,094",-,"85,92,094"
Hindustan Zinc Limited,690.3,10,"2,04,108",-,"2,04,108","82,88,782",-,"82,88,782"
Hindustan Zinc Limited,690.35,1,475,-,475,"80,84,674",-,"80,84,674"
Hindustan Zinc Limited,690.4,5,"6,138",-,"6,138","80,84,199",-,"80,84,199"
Hindustan Zinc Limited,690.5,12,"51,571",-,"51,571","80,78,061",-,"80,78,061"
Hindustan Zinc Limited,690.55,10,"14,525",-,"14,525","80,26,490",-,"80,26,490"
Hindustan Zinc Limited,690.6,4,"2,01,500",-,"2,01,500","80,11,965",-,"80,11,965"
Hindustan Zinc Limited,690.65,3,"2,492",-,"2,492","78,10,465",-,"78,10,465"
Hindustan Zinc Limited,690.7,1,300,-,300,"78,07,973",-,"78,07,973"
Hindustan Zinc Limited,690.75,2,"3,000",-,"3,000","78,07,673",-,"78,07,673"
Hindustan Zinc Limited,690.9,1,"1,000",-,"1,000","78,04,673",-,"78,04,673"
Hindustan Zinc Limited,690.95,1,"2,000",-,"2,000","78,03,673",-,"78,03,673"
Hindustan Zinc Limited,691,46,"1,73,452",-,"1,73,452","78,01,673",-,"78,01,673"
Hindustan Zinc Limited,691.05,3,"6,000",-,"6,000","76,28,221",-,"76,28,221"
Hindustan Zinc Limited,691.1,15,"19,475",-,"19,475","76,22,221",-,"76,22,221"
Hindustan Zinc Limited,691.15,2,"1,01,000",-,"1,01,000","76,02,746",-,"76,02,746"
Hindustan Zinc Limited,691.2,10,"13,200",-,"13,200","75,01,746",-,"75,01,746"
Hindustan Zinc Limited,691.25,4,"1,18,975",-,"1,18,975","74,88,546",-,"74,88,546"
Hindustan Zinc Limited,691.3,5,"23,790",-,"23,790","73,69,571",-,"73,69,571"
Hindustan Zinc Limited,691.35,1,"55,000",-,"55,000","73,45,781",-,"73,45,781"
Hindustan Zinc Limited,691.4,4,"41,517",-,"41,517","72,90,781",-,"72,90,781"
Hindustan Zinc Limited,691.45,2,"6,50,300",-,"6,50,300","72,49,264",-,"72,49,264"
Hindustan Zinc Limited,691.5,9,"1,78,388",-,"1,78,388","65,98,964",-,"65,98,964"
Hindustan Zinc Limited,691.55,3,"1,62,961",-,"1,62,961","64,20,576",-,"64,20,576"
Hindustan Zinc Limited,691.6,3,"2,375",-,"2,375","62,57,615",-,"62,57,615"
Hindustan Zinc Limited,691.65,2,"22,500",-,"22,500","62,55,240",-,"62,55,240"
Hindustan Zinc Limited,691.7,3,"2,691",-,"2,691","62,32,740",-,"62,32,740"
Hindustan Zinc Limited,691.75,1,290,-,290,"62,30,049",-,"62,30,049"
Hindustan Zinc Limited,691.8,1,"2,57,000",-,"2,57,000","62,29,759",-,"62,29,759"
Hindustan Zinc Limited,691.85,2,586,-,586,"59,72,759",-,"59,72,759"
Hindustan Zinc Limited,691.9,10,"4,262",-,"4,262","59,72,173",-,"59,72,173"
Hindustan Zinc Limited,692,72,"16,53,524",-,"16,53,524","59,67,911",-,"59,67,911"
Hindustan Zinc Limited,692.05,4,"2,05,753",-,"2,05,753","43,14,387",-,"43,14,387"
Hindustan Zinc Limited,692.1,34,"1,54,148",-,"1,54,148","41,08,634",-,"41,08,634"
Hindustan Zinc Limited,692.15,4,"2,00,830",-,"2,00,830","39,54,486",-,"39,54,486"
Hindustan Zinc Limited,692.2,3,"3,450",-,"3,450","37,53,656",-,"37,53,656"
Hindustan Zinc Limited,692.3,1,"5,000",-,"5,000","37,50,206",-,"37,50,206"
Hindustan Zinc Limited,692.35,1,"7,000",-,"7,000","37,45,206",-,"37,45,206"
Hindustan Zinc Limited,692.4,3,"3,000",-,"3,000","37,38,206",-,"37,38,206"
Hindustan Zinc Limited,692.5,13,"3,14,782",-,"3,14,782","37,35,206",-,"37,35,206"
Hindustan Zinc Limited,692.55,4,"3,10,300",-,"3,10,300","34,20,424",-,"34,20,424"
Hindustan Zinc Limited,692.6,2,"1,625",-,"1,625","31,10,124",-,"31,10,124"
Hindustan Zinc Limited,692.65,26,"58,451",-,"58,451","31,08,499",-,"31,08,499"
Hindustan Zinc Limited,692.7,1,300,-,300,"30,50,048",-,"30,50,048"
Hindustan Zinc Limited,693,42,"94,322",-,"94,322","30,49,748",-,"30,49,748"
Hindustan Zinc Limited,693.05,1,"1,00,000",-,"1,00,000","29,55,426",-,"29,55,426"
Hindustan Zinc Limited,693.1,3,"10,720",-,"10,720","28,55,426",-,"28,55,426"
Hindustan Zinc Limited,693.15,1,300,-,300,"28,44,706",-,"28,44,706"
Hindustan Zinc Limited,693.25,1,"2,450",-,"2,450","28,44,406",-,"28,44,406"
Hindustan Zinc Limited,693.35,2,"1,990",-,"1,990","28,41,956",-,"28,41,956"
Hindustan Zinc Limited,693.5,6,"35,927",-,"35,927","28,39,966",-,"28,39,966"
Hindustan Zinc Limited,693.55,1,"1,50,000",-,"1,50,000","28,04,039",-,"28,04,039"
Hindustan Zinc Limited,693.6,3,"2,751",-,"2,751","26,54,039",-,"26,54,039"
Hindustan Zinc Limited,693.65,1,"12,000",-,"12,000","26,51,288",-,"26,51,288"
Hindustan Zinc Limited,694,27,"22,756",-,"22,756","26,39,288",-,"26,39,288"
Hindustan Zinc Limited,694.05,1,300,-,300,"26,16,532",-,"26,16,532"
Hindustan Zinc Limited,694.15,1,"1,000",-,"1,000","26,16,232",-,"26,16,232"
Hindustan Zinc Limited,694.35,2,"3,700",-,"3,700","26,15,232",-,"26,15,232"
Hindustan Zinc Limited,694.8,1,290,-,290,"26,11,532",-,"26,11,532"
Hindustan Zinc Limited,694.9,3,"21,585",-,"21,585","26,11,242",-,"26,11,242"
Hindustan Zinc Limited,695,128,"7,70,217",-,"7,70,217","25,89,657",-,"25,89,657"
Hindustan Zinc Limited,695.05,7,"11,912",-,"11,912","18,19,440",-,"18,19,440"
Hindustan Zinc Limited,695.1,9,"4,226",-,"4,226","18,07,528",-,"18,07,528"
Hindustan Zinc Limited,695.15,4,"3,60,425",-,"3,60,425","18,03,302",-,"18,03,302"
Hindustan Zinc Limited,695.2,3,"1,288",-,"1,288","14,42,877",-,"14,42,877"
Hindustan Zinc Limited,695.25,2,"7,750",-,"7,750","14,41,589",-,"14,41,589"
Hindustan Zinc Limited,695.3,1,"1,000",-,"1,000","14,33,839",-,"14,33,839"
Hindustan Zinc Limited,695.35,3,"5,595",-,"5,595","14,32,839",-,"14,32,839"
Hindustan Zinc Limited,695.5,9,"71,970",-,"71,970","14,27,244",-,"14,27,244"
Hindustan Zinc Limited,695.55,1,"5,000",-,"5,000","13,55,274",-,"13,55,274"
Hindustan Zinc Limited,695.65,1,"10,200",-,"10,200","13,50,274",-,"13,50,274"
Hindustan Zinc Limited,695.8,1,650,-,650,"13,40,074",-,"13,40,074"
Hindustan Zinc Limited,695.9,1,290,-,290,"13,39,424",-,"13,39,424"
Hindustan Zinc Limited,696,26,"2,01,525",-,"2,01,525","13,39,134",-,"13,39,134"
Hindustan Zinc Limited,696.05,1,"1,600",-,"1,600","11,37,609",-,"11,37,609"
Hindustan Zinc Limited,696.1,3,"40,500",-,"40,500","11,36,009",-,"11,36,009"
Hindustan Zinc Limited,696.2,1,900,-,900,"10,95,509",-,"10,95,509"
Hindustan Zinc Limited,696.35,7,"10,500",-,"10,500","10,94,609",-,"10,94,609"
Hindustan Zinc Limited,696.45,1,"15,000",-,"15,000","10,84,109",-,"10,84,109"
Hindustan Zinc Limited,696.5,6,"86,950",-,"86,950","10,69,109",-,"10,69,109"
Hindustan Zinc Limited,696.55,1,451,-,451,"9,82,159",-,"9,82,159"
Hindustan Zinc Limited,696.6,1,"25,000",-,"25,000","9,81,708",-,"9,81,708"
Hindustan Zinc Limited,696.75,2,690,-,690,"9,56,708",-,"9,56,708"
Hindustan Zinc Limited,696.85,1,"1,500",-,"1,500","9,56,018",-,"9,56,018"
Hindustan Zinc Limited,697,18,"16,688",-,"16,688","9,54,518",-,"9,54,518"
Hindustan Zinc Limited,697.1,1,300,-,300,"9,37,830",-,"9,37,830"
Hindustan Zinc Limited,697.5,1,314,-,314,"9,37,530",-,"9,37,530"
Hindustan Zinc Limited,697.55,1,"1,800",-,"1,800","9,37,216",-,"9,37,216"
Hindustan Zinc Limited,698,11,"5,374",-,"5,374","9,35,416",-,"9,35,416"
Hindustan Zinc Limited,698.3,1,"2,000",-,"2,000","9,30,042",-,"9,30,042"
Hindustan Zinc Limited,698.5,1,710,-,710,"9,28,042",-,"9,28,042"
Hindustan Zinc Limited,699,14,"5,290",-,"5,290","9,27,332",-,"9,27,332"
Hindustan Zinc Limited,699.1,1,287,-,287,"9,22,042",-,"9,22,042"
Hindustan Zinc Limited,699.5,1,355,-,355,"9,21,755",-,"9,21,755"
Hindustan Zinc Limited,700,43,"3,29,008",-,"3,29,008","9,21,400",-,"9,21,400"
Hindustan Zinc Limited,700.05,1,350,-,350,"5,92,392",-,"5,92,392"
Hindustan Zinc Limited,700.1,4,"1,739",-,"1,739","5,92,042",-,"5,92,042"
Hindustan Zinc Limited,700.2,1,"4,500",-,"4,500","5,90,303",-,"5,90,303"
Hindustan Zinc Limited,700.25,2,587,-,587,"5,85,803",-,"5,85,803"
Hindustan Zinc Limited,700.35,1,286,-,286,"5,85,216",-,"5,85,216"
Hindustan Zinc Limited,700.5,2,"2,112",-,"2,112","5,84,930",-,"5,84,930"
Hindustan Zinc Limited,700.55,1,300,-,300,"5,82,818",-,"5,82,818"
Hindustan Zinc Limited,700.65,1,900,-,900,"5,82,518",-,"5,82,518"
Hindustan Zinc Limited,701,18,"16,954",-,"16,954","5,81,618",-,"5,81,618"
Hindustan Zinc Limited,701.05,5,"2,613",-,"2,613","5,64,664",-,"5,64,664"
Hindustan Zinc Limited,701.1,6,"3,45,504",-,"3,45,504","5,62,051",-,"5,62,051"
Hindustan Zinc Limited,701.15,1,"1,500",-,"1,500","2,16,547",-,"2,16,547"
Hindustan Zinc Limited,701.2,3,916,-,916,"2,15,047",-,"2,15,047"
Hindustan Zinc Limited,701.5,2,550,-,550,"2,14,131",-,"2,14,131"
Hindustan Zinc Limited,701.65,2,"39,001",-,"39,001","2,13,581",-,"2,13,581"
Hindustan Zinc Limited,702,14,"16,943",-,"16,943","1,74,580",-,"1,74,580"
Hindustan Zinc Limited,702.1,2,"1,100",-,"1,100","1,57,637",-,"1,57,637"
Hindustan Zinc Limited,702.2,1,288,-,288,"1,56,537",-,"1,56,537"
Hindustan Zinc Limited,702.5,1,250,-,250,"1,56,249",-,"1,56,249"
Hindustan Zinc Limited,702.55,1,292,-,292,"1,55,999",-,"1,55,999"
Hindustan Zinc Limited,702.65,1,"1,20,000",-,"1,20,000","1,55,707",-,"1,55,707"
Hindustan Zinc Limited,703,6,"7,531",-,"7,531","35,707",-,"35,707"
Hindustan Zinc Limited,703.1,1,350,-,350,"28,176",-,"28,176"
Hindustan Zinc Limited,703.15,1,"10,000",-,"10,000","27,826",-,"27,826"
Hindustan Zinc Limited,703.5,2,"1,400",-,"1,400","17,826",-,"17,826"
Hindustan Zinc Limited,704,2,602,-,602,"16,426",-,"16,426"
Hindustan Zinc Limited,705,8,"4,239",-,"4,239","15,824",-,"15,824"
Hindustan Zinc Limited,706,3,"1,650",-,"1,650","11,585",-,"11,585"
Hindustan Zinc Limited,707,2,"7,055",-,"7,055","9,935",-,"9,935"
Hindustan Zinc Limited,710,2,576,-,576,"2,880",-,"2,880"
Hindustan Zinc Limited,711,3,"1,285",-,"1,285","2,304",-,"2,304"
Hindustan Zinc Limited,715,1,14,-,14,"1,019",-,"1,019"
Hindustan Zinc Limited,800,1,5,-,5,"1,005",-,"1,005"
Hindustan Zinc Limited,996.4,1,"1,000",-,"1,000","1,000",-,"1,000"
