Company,Price Interval,No. of Bids,Qty Confirmed,Qty Yet to Confirm,Qty Total,Cumulative Confirmed,Cumulative Yet to Confirm,Cumulative Total
Hindustan Zinc Limited,685,537,"11,58,098",-,"11,58,098","2,06,16,891",-,"2,06,16,891"
Hindustan Zinc Limited,685.05,171,"1,90,991",-,"1,90,991","1,94,58,793",-,"1,94,58,793"
Hindustan Zinc Limited,685.1,98,"75,195",-,"75,195","1,92,67,802",-,"1,92,67,802"
Hindustan Zinc Limited,685.15,27,"9,26,063",-,"9,26,063","1,91,92,607",-,"1,91,92,607"
Hindustan Zinc Limited,685.2,10,"5,924",-,"5,924","1,82,66,544",-,"1,82,66,544"
Hindustan Zinc Limited,685.25,15,"28,028",-,"28,028","1,82,60,620",-,"1,82,60,620"
Hindustan Zinc Limited,685.3,11,"18,807",-,"18,807","1,82,32,592",-,"1,82,32,592"
Hindustan Zinc Limited,685.35,1,306,-,306,"1,82,13,785",-,"1,82,13,785"
Hindustan Zinc Limited,685.4,4,"20,160",-,"20,160","1,82,13,479",-,"1,82,13,479"
Hindustan Zinc Limited,685.45,2,"3,110",-,"3,110","1,81,93,319",-,"1,81,93,319"
Hindustan Zinc Limited,685.5,35,"47,608",-,"47,608","1,81,90,209",-,"1,81,90,209"
Hindustan Zinc Limited,685.55,19,"25,119",-,"25,119","1,81,42,601",-,"1,81,42,601"
Hindustan Zinc Limited,685.6,16,"61,495",-,"61,495","1,81,17,482",-,"1,81,17,482"
Hindustan Zinc Limited,685.65,3,882,-,882,"1,80,55,987",-,"1,80,55,987"
Hindustan Zinc Limited,685.7,4,"16,720",-,"16,720","1,80,55,105",-,"1,80,55,105"
Hindustan Zinc Limited,685.75,3,"1,592",-,"1,592","1,80,38,385",-,"1,80,38,385"
Hindustan Zinc Limited,685.8,4,"2,59,518",-,"2,59,518","1,80,36,793",-,"1,80,36,793"
Hindustan Zinc Limited,685.9,7,"5,026",-,"5,026","1,77,77,275",-,"1,77,77,275"
Hindustan Zinc Limited,685.95,1,600,-,600,"1,77,72,249",-,"1,77,72,249"
Hindustan Zinc Limited,686,158,"14,41,234",-,"14,41,234","1,77,71,649",-,"1,77,71,649"
Hindustan Zinc Limited,686.05,35,"1,09,021",-,"1,09,021","1,63,30,415",-,"1,63,30,415"
Hindustan Zinc Limited,686.1,90,"15,58,529",-,"15,58,529","1,62,21,394",-,"1,62,21,394"
Hindustan Zinc Limited,686.15,14,"8,526",-,"8,526","1,46,62,865",-,"1,46,62,865"
Hindustan Zinc Limited,686.2,26,"56,536",-,"56,536","1,46,54,339",-,"1,46,54,339"
Hindustan Zinc Limited,686.25,46,"50,320",-,"50,320","1,45,97,803",-,"1,45,97,803"
