Company,Price Interval,No. of Bids,Qty Confirmed,Qty Yet to Confirm,Qty Total,Cumulative Confirmed,Cumulative Yet to Confirm,Cumulative Total
Hindustan Zinc Limited,685,496,"28,68,246",-,"28,68,246","97,14,144",-,"97,14,144"
Hindustan Zinc Limited,685.05,6,"7,081",-,"7,081","68,45,898",-,"68,45,898"
Hindustan Zinc Limited,685.1,44,"3,14,830",-,"3,14,830","68,38,817",-,"68,38,817"
Hindustan Zinc Limited,685.15,4,"77,618",-,"77,618","65,23,987",-,"65,23,987"
Hindustan Zinc Limited,685.2,1,350,-,350,"64,46,369",-,"64,46,369"
Hindustan Zinc Limited,685.25,5,"14,462",-,"14,462","64,46,019",-,"64,46,019"
Hindustan Zinc Limited,685.3,11,"4,06,100",-,"4,06,100","64,31,557",-,"64,31,557"
Hindustan Zinc Limited,685.35,8,"7,656",-,"7,656","60,25,457",-,"60,25,457"
Hindustan Zinc Limited,685.4,1,"1,000",-,"1,000","60,17,801",-,"60,17,801"
Hindustan Zinc Limited,685.45,2,600,-,600,"60,16,801",-,"60,16,801"
Hindustan Zinc Limited,685.5,4,"11,600",-,"11,600","60,16,201",-,"60,16,201"
Hindustan Zinc Limited,685.55,2,"6,295",-,"6,295","60,04,601",-,"60,04,601"
Hindustan Zinc Limited,685.6,1,360,-,360,"59,98,306",-,"59,98,306"
Hindustan Zinc Limited,685.7,2,"1,125",-,"1,125","59,97,946",-,"59,97,946"
Hindustan Zinc Limited,685.9,33,"53,870",-,"53,870","59,96,821",-,"59,96,821"
Hindustan Zinc Limited,686,65,"94,507",-,"94,507","59,42,951",-,"59,42,951"
Hindustan Zinc Limited,686.05,129,"73,946",-,"73,946","58,48,444",-,"58,48,444"
Hindustan Zinc Limited,686.1,12,"21,704",-,"21,704","57,74,498",-,"57,74,498"
Hindustan Zinc Limited,686.15,1,"29,000",-,"29,000","57,52,794",-,"57,52,794"
Hindustan Zinc Limited,686.25,2,"3,840",-,"3,840","57,23,794",-,"57,23,794"
Hindustan Zinc Limited,686.35,1,590,-,590,"57,19,954",-,"57,19,954"
Hindustan Zinc Limited,686.5,2,332,-,332,"57,19,364",-,"57,19,364"
Hindustan Zinc Limited,686.55,3,"4,132",-,"4,132","57,19,032",-,"57,19,032"
Hindustan Zinc Limited,686.6,1,100,-,100,"57,14,900",-,"57,14,900"
Hindustan Zinc Limited,686.65,1,297,-,297,"57,14,800",-,"57,14,800"
Hindustan Zinc Limited,686.7,1,300,-,300,"57,14,503",-,"57,14,503"
Hindustan Zinc Limited,687,35,"3,45,176",-,"3,45,176","57,14,203",-,"57,14,203"
Hindustan Zinc Limited,687.05,1,360,-,360,"53,69,027",-,"53,69,027"
Hindustan Zinc Limited,687.1,2,795,-,795,"53,68,667",-,"53,68,667"
Hindustan Zinc Limited,687.25,3,"2,000",-,"2,000","53,67,872",-,"53,67,872"
Hindustan Zinc Limited,687.3,3,"2,518",-,"2,518","53,65,872",-,"53,65,872"
