Company,Price Interval,No. of Bids,Qty Confirmed,Qty Yet to Confirm,Qty Total,Cumulative Confirmed,Cumulative Yet to Confirm,Cumulative Total
Hindustan Zinc Limited,687.5,6,"11,460",-,"11,460","53,63,354",-,"53,63,354"
Hindustan Zinc Limited,687.55,1,"1,00,000",-,"1,00,000","53,51,894",-,"53,51,894"
Hindustan Zinc Limited,687.6,2,"11,011",-,"11,011","52,51,894",-,"52,51,894"
Hindustan Zinc Limited,688,23,"44,828",-,"44,828","52,40,883",-,"52,40,883"
Hindustan Zinc Limited,688.05,2,"2,300",-,"2,300","51,96,055",-,"51,96,055"
Hindustan Zinc Limited,688.1,1,300,-,300,"51,93,755",-,"51,93,755"
Hindustan Zinc Limited,688.5,1,300,-,300,"51,93,455",-,"51,93,455"
Hindustan Zinc Limited,688.55,1,710,-,710,"51,93,155",-,"51,93,155"
Hindustan Zinc Limited,688.9,2,584,-,584,"51,92,445",-,"51,92,445"
Hindustan Zinc Limited,689,17,"8,341",-,"8,341","51,91,861",-,"51,91,861"
Hindustan Zinc Limited,689.35,1,500,-,500,"51,83,520",-,"51,83,520"
Hindustan Zinc Limited,690,159,"4,98,499",-,"4,98,499","51,83,020",-,"51,83,020"
Hindustan Zinc Limited,690.05,5,"47,724",-,"47,724","46,84,521",-,"46,84,521"
Hindustan Zinc Limited,690.1,18,"7,365",-,"7,365","46,36,797",-,"46,36,797"
Hindustan Zinc Limited,690.15,1,300,-,300,"46,29,432",-,"46,29,432"
Hindustan Zinc Limited,690.2,7,"17,400",-,"17,400","46,29,132",-,"46,29,132"
Hindustan Zinc Limited,690.25,3,"2,00,742",-,"2,00,742","46,11,732",-,"46,11,732"
Hindustan Zinc Limited,690.3,3,900,-,900,"44,10,990",-,"44,10,990"
Hindustan Zinc Limited,690.35,1,475,-,475,"44,10,090",-,"44,10,090"
Hindustan Zinc Limited,690.5,7,"2,175",-,"2,175","44,09,615",-,"44,09,615"
Hindustan Zinc Limited,690.55,1,"2,00,000",-,"2,00,000","44,07,440",-,"44,07,440"
Hindustan Zinc Limited,691,40,"2,87,228",-,"2,87,228","42,07,440",-,"42,07,440"
Hindustan Zinc Limited,691.05,1,"1,600",-,"1,600","39,20,212",-,"39,20,212"
Hindustan Zinc Limited,691.1,19,"46,205",-,"46,205","39,18,612",-,"39,18,612"
Hindustan Zinc Limited,691.15,3,900,-,900,"38,72,407",-,"38,72,407"
Hindustan Zinc Limited,691.3,1,450,-,450,"38,71,507",-,"38,71,507"
Hindustan Zinc Limited,691.6,3,"1,120",-,"1,120","38,71,057",-,"38,71,057"
Hindustan Zinc Limited,691.85,2,596,-,596,"38,69,937",-,"38,69,937"
Hindustan Zinc Limited,691.9,8,"3,370",-,"3,370","38,69,341",-,"38,69,341"
Hindustan Zinc Limited,692,9,"5,617",-,"5,617","38,65,971",-,"38,65,971"
Hindustan Zinc Limited,692.1,6,"20,500",-,"20,500","38,60,354",-,"38,60,354"
Hindustan Zinc Limited,692.25,1,290,-,290,"38,39,854",-,"38,39,854"
Hindustan Zinc Limited,692.6,1,310,-,310,"38,39,564",-,"38,39,564"
Hindustan Zinc Limited,693,24,"18,859",-,"18,859","38,39,254",-,"38,39,254"
Hindustan Zinc Limited,693.45,1,600,-,600,"38,20,395",-,"38,20,395"
Hindustan Zinc Limited,693.5,1,"1,200",-,"1,200","38,19,795",-,"38,19,795"
Hindustan Zinc Limited,694,2,"1,295",-,"1,295","38,18,595",-,"38,18,595"
Hindustan Zinc Limited,694.1,1,"3,000",-,"3,000","38,17,300",-,"38,17,300"
Hindustan Zinc Limited,695,120,"4,67,084",-,"4,67,084","38,14,300",-,"38,14,300"
Hindustan Zinc Limited,695.05,2,"2,400",-,"2,400","33,47,216",-,"33,47,216"
Hindustan Zinc Limited,695.1,11,"7,353",-,"7,353","33,44,816",-,"33,44,816"
Hindustan Zinc Limited,695.2,1,350,-,350,"33,37,463",-,"33,37,463"
Hindustan Zinc Limited,695.25,1,"1,000",-,"1,000","33,37,113",-,"33,37,113"
Hindustan Zinc Limited,695.55,4,"3,51,901",-,"3,51,901","33,36,113",-,"33,36,113"
Hindustan Zinc Limited,695.6,1,500,-,500,"29,84,212",-,"29,84,212"
Hindustan Zinc Limited,696,15,"7,960",-,"7,960","29,83,712",-,"29,83,712"
Hindustan Zinc Limited,696.1,16,"34,565",-,"34,565","29,75,752",-,"29,75,752"
Hindustan Zinc Limited,696.25,1,300,-,300,"29,41,187",-,"29,41,187"
Hindustan Zinc Limited,696.55,2,"1,65,000",-,"1,65,000","29,40,887",-,"29,40,887"
Hindustan Zinc Limited,696.8,1,290,-,290,"27,75,887",-,"27,75,887"
Hindustan Zinc Limited,697,2,700,-,700,"27,75,597",-,"27,75,597"
Hindustan Zinc Limited,697.5,1,"1,500",-,"1,500","27,74,897",-,"27,74,897"
Hindustan Zinc Limited,698,12,"4,692",-,"4,692","27,73,397",-,"27,73,397"
Hindustan Zinc Limited,698.3,1,"2,000",-,"2,000","27,68,705",-,"27,68,705"
Hindustan Zinc Limited,698.6,1,290,-,290,"27,66,705",-,"27,66,705"
Hindustan Zinc Limited,699,14,"4,624",-,"4,624","27,66,415",-,"27,66,415"
Hindustan Zinc Limited,699.1,1,287,-,287,"27,61,791",-,"27,61,791"
Hindustan Zinc Limited,699.5,3,"6,000",-,"6,000","27,61,504",-,"27,61,504"
Hindustan Zinc Limited,700,145,"12,94,078",-,"12,94,078","27,55,504",-,"27,55,504"
Hindustan Zinc Limited,700.05,5,"7,344",-,"7,344","14,61,426",-,"14,61,426"
Hindustan Zinc Limited,700.1,2,"17,000",-,"17,000","14,54,082",-,"14,54,082"
Hindustan Zinc Limited,700.2,2,"5,850",-,"5,850","14,37,082",-,"14,37,082"
Hindustan Zinc Limited,700.25,4,"1,200",-,"1,200","14,31,232",-,"14,31,232"
Hindustan Zinc Limited,700.35,1,286,-,286,"14,30,032",-,"14,30,032"
Hindustan Zinc Limited,700.5,3,"3,355",-,"3,355","14,29,746",-,"14,29,746"
Hindustan Zinc Limited,700.55,3,"3,00,000",-,"3,00,000","14,26,391",-,"14,26,391"
Hindustan Zinc Limited,701,66,"2,70,665",-,"2,70,665","11,26,391",-,"11,26,391"
Hindustan Zinc Limited,701.05,1,"1,426",-,"1,426","8,55,726",-,"8,55,726"
Hindustan Zinc Limited,701.1,17,"6,252",-,"6,252","8,54,300",-,"8,54,300"
Hindustan Zinc Limited,701.15,2,"1,900",-,"1,900","8,48,048",-,"8,48,048"
Hindustan Zinc Limited,701.2,1,"7,000",-,"7,000","8,46,148",-,"8,46,148"
Hindustan Zinc Limited,701.25,1,511,-,511,"8,39,148",-,"8,39,148"
Hindustan Zinc Limited,701.3,1,"1,000",-,"1,000","8,38,637",-,"8,38,637"
Hindustan Zinc Limited,701.4,7,"5,080",-,"5,080","8,37,637",-,"8,37,637"
Hindustan Zinc Limited,701.5,2,550,-,550,"8,32,557",-,"8,32,557"
Hindustan Zinc Limited,701.55,1,840,-,840,"8,32,007",-,"8,32,007"
Hindustan Zinc Limited,701.65,3,"1,62,300",-,"1,62,300","8,31,167",-,"8,31,167"
Hindustan Zinc Limited,701.7,1,700,-,700,"6,68,867",-,"6,68,867"
Hindustan Zinc Limited,701.75,4,"16,690",-,"16,690","6,68,167",-,"6,68,167"
Hindustan Zinc Limited,702,24,"31,278",-,"31,278","6,51,477",-,"6,51,477"
Hindustan Zinc Limited,702.1,2,"1,100",-,"1,100","6,20,199",-,"6,20,199"
Hindustan Zinc Limited,702.2,1,"20,000",-,"20,000","6,19,099",-,"6,19,099"
Hindustan Zinc Limited,702.25,1,990,-,990,"5,99,099",-,"5,99,099"
Hindustan Zinc Limited,702.4,1,350,-,350,"5,98,109",-,"5,98,109"
Hindustan Zinc Limited,702.45,1,"12,000",-,"12,000","5,97,759",-,"5,97,759"
Hindustan Zinc Limited,702.5,1,250,-,250,"5,85,759",-,"5,85,759"
Hindustan Zinc Limited,702.55,1,292,-,292,"5,85,509",-,"5,85,509"
Hindustan Zinc Limited,703,5,"3,589",-,"3,589","5,85,217",-,"5,85,217"
Hindustan Zinc Limited,703.1,1,350,-,350,"5,81,628",-,"5,81,628"
Hindustan Zinc Limited,703.15,1,"10,000",-,"10,000","5,81,278",-,"5,81,278"
Hindustan Zinc Limited,704,6,"2,985",-,"2,985","5,71,278",-,"5,71,278"
Hindustan Zinc Limited,705,36,"19,704",-,"19,704","5,68,293",-,"5,68,293"
Hindustan Zinc Limited,705.1,1,500,-,500,"5,48,589",-,"5,48,589"
Hindustan Zinc Limited,705.2,1,800,-,800,"5,48,089",-,"5,48,089"
Hindustan Zinc Limited,706,6,"1,02,500",-,"1,02,500","5,47,289",-,"5,47,289"
Hindustan Zinc Limited,706.1,1,"5,000",-,"5,000","4,44,789",-,"4,44,789"
Hindustan Zinc Limited,706.3,3,"6,000",-,"6,000","4,39,789",-,"4,39,789"
Hindustan Zinc Limited,706.5,1,285,-,285,"4,33,789",-,"4,33,789"
Hindustan Zinc Limited,707,17,"47,105",-,"47,105","4,33,504",-,"4,33,504"
Hindustan Zinc Limited,708,2,"1,090",-,"1,090","3,86,399",-,"3,86,399"
Hindustan Zinc Limited,708.4,3,"1,500",-,"1,500","3,85,309",-,"3,85,309"
Hindustan Zinc Limited,710,24,"15,340",-,"15,340","3,83,809",-,"3,83,809"
Hindustan Zinc Limited,710.05,1,451,-,451,"3,68,469",-,"3,68,469"
Hindustan Zinc Limited,710.2,1,282,-,282,"3,68,018",-,"3,68,018"
Hindustan Zinc Limited,711,24,"19,331",-,"19,331","3,67,736",-,"3,67,736"
Hindustan Zinc Limited,711.1,23,"15,346",-,"15,346","3,48,405",-,"3,48,405"
Hindustan Zinc Limited,711.35,1,"65,000",-,"65,000","3,33,059",-,"3,33,059"
Hindustan Zinc Limited,711.5,1,"1,400",-,"1,400","2,68,059",-,"2,68,059"
Hindustan Zinc Limited,712,3,"1,025",-,"1,025","2,66,659",-,"2,66,659"
Hindustan Zinc Limited,713,3,"1,390",-,"1,390","2,65,634",-,"2,65,634"
Hindustan Zinc Limited,713.2,3,"6,000",-,"6,000","2,64,244",-,"2,64,244"
Hindustan Zinc Limited,714,9,"3,150",-,"3,150","2,58,244",-,"2,58,244"
Hindustan Zinc Limited,715,3,"1,114",-,"1,114","2,55,094",-,"2,55,094"
Hindustan Zinc Limited,720,1,"3,675",-,"3,675","2,53,980",-,"2,53,980"
Hindustan Zinc Limited,725,10,"2,50,000",-,"2,50,000","2,50,305",-,"2,50,305"
Hindustan Zinc Limited,800,2,305,-,305,305,-,305
